Alfven radius = 0.932625035277 AU 
Outflow speed at Alfven point = 1191.33308133 km/s 
Slow point radius = 0.008016209989824205 AU 
Outflow speed at slow point = 165.95161126155605 km/s 
Fast point radius = 4.296207849449601 AU 
Outflow speed at fast point = 1615.6367184703852 km/s 
R (cm)    density (g/cm^3)    Vr (cm/s)    Vphi (cm/s)     Br (G)     Bphi (G) 
10044838484.0193    1.209059745996175e-09    0.41129949584387465    134098.5932986918    1198.5284886121324    -1.3490845095818975 
11734196440.557901    3.8256794733928487e-11    9.525254004198453    156651.50995644968    878.2690296445552    -1.1548582439270003 
13707673480.72948    1.9901584283373627e-12    134.17657539618074    182997.23486294204    643.5862774743009    -0.9885944575174115 
16013053233.439867    1.5845299071764423e-13    1234.932214010799    213772.04469191923    471.61323304416226    -0.8462674208698256 
18706155659.270355    1.8160923513662998e-14    7895.594538340356    249710.62733987684    345.5932007364009    -0.7244309840541568 
21852188614.356068    2.843292537387674e-15    36955.61458339349    291636.2234633521    253.24705081811467    -0.620135132329302 
25527326722.567265    5.813568907283056e-16    132445.8506070597    340410.94166978024    185.57676658977465    -0.53085456004004 
29820555785.089226    1.4936120329403944e-16    377765.75376808265    396842.0563020487    135.98869636057503    -0.45442752635999806 
34835827385.930916    4.662274233334956e-17    886832.8672688724    461596.4054204186    99.65108174736238    -0.3890035137796411 
40694575862.639084    1.715428092883793e-17    1766226.0432690135    535218.298281772    73.02326119142386    -0.33299842167793514 
47538658585.41141    7.232670083210292e-18    3069724.1719409963    618288.3936397502    53.51067526341234    -0.2850562098708892 
55533790737.3327    3.4035784866784815e-18    4780149.135736078    711629.3082689424    39.212058191159755    -0.24401606392901073 
64873557761.77204    1.7461656896896395e-18    6827645.638622702    816428.1532707149    28.734182478878704    -0.20888428794280225 
75784102629.98215    9.576973861677876e-19    9122362.544606946    934249.889902892    21.056105718919927    -0.17881024432988923 
88529601421.30505    5.52889559341489e-19    11579143.825495776    1067002.661578776    15.429692087889538    -0.1530657577991723 
103418659795.73433    3.320445022203945e-19    14128555.123487748    1216910.8328694876    11.30671554869516    -0.13102748448700174 
120811785236.07236    2.0562757304746687e-19    16718291.816087533    1386518.1987317095    8.285441846208093    -0.11216181925022413 
141130115984.43558    1.3044149645898882e-19    19312419.465979304    1578688.3283681993    6.0714843573488935    -0.09601197585038886 
164865618026.08997    8.434962151795274e-20    21885099.57809333    1796680.7260218745    4.4491196710773675    -0.08218692679246849 
192592997019.3052    5.539316195337574e-20    24420509.236585416    2044156.724954925    3.2602679480855823    -0.07035193579075363 
224983613593.75815    3.683754725879512e-20    26909112.428530693    2325248.308550673    2.389089950178915    -0.06022045293152257 
262821738947.40134    2.4752376858225553e-20    29346234.097299006    2644606.9278598255    1.750699905937934    -0.051547176731905814 
307023544337.1537    1.6775138387118562e-20    31730899.3594907    3007455.1873227023    1.282894417776751    -0.044122114994072974 
358659284254.3104    1.1450337178848363e-20    34065080.89815234    3419633.75103526    0.9400914923114735    -0.037765500697121604 
