,Unnamed: 0,planet_name,star_name,simbad_id,parallax (mas),d_star(pc),Karm ID,mass_star(m_sun),radius_star(r_sun),p_rot(days),SP_TYPE,RA (h:m:s),DEC (d:m:s),μ_ra(mas/yr),μ_dec(mas/yr),radial_velocity(km/s),Pref,log(Lbol/LSun),log(LX/Lbol),log(LHa/Lbol),log(LCa/Lbol),bfield_star(gauss),dB,vsini,dvsini,p_orb(days),a(au),mass_planet(m_earth),radius_planet(r_earth),ra(deg),dec(deg),Teff
1,1,LHS 1478 b,             G 245-61 ,G 245-61,54.8329,18.23722619084528,           J02573+765 ,0.24,0.25,   NaN ,,02 57 18.2591,+76 33 11.250,691.036,-399.685,--,          ,-2.15,      NaN ,      NaN ,      NaN ,197.0,197.0,   0.0 ,   0.1,1.9495378,0.01848,2.329474,1.2397154,44.3260797015313,76.553125080562,3381.0
2,2,CD Cet b,               CD Cet ,V* CD Cet,116.1536,8.609289768031296,           J03133+047 ,0.18,0.21, 126.2 ,M4.5Ve,03 13 22.9175,+04 46 29.343,1741.859,86.017,26.0,   New16a ,-2.53,      NaN ,      NaN ,    -5.22 ,253.0,90.0,   0.0 ,   0.0,2.2907,0.0185,3.953432,,48.3454896804004,4.7748177160303,3214.0
10,10,LP 714-47 b,            LP 714-47 ,G 160-62,18.9768,52.69592344336242,           J04167-120 ,0.6,0.59,   NaN ,,04 16 45.6005,-12 05 02.454,49.766,-197.253,-8.04,          ,-1.12,      NaN ,      NaN ,      NaN ,645.0,142.0,   2.2 ,   0.1,4.052037,0.0417,30.79482,4.696571,64.1900020838191,-12.0840150109826,3961.0
11,11,K2-155 b,            LP 415-17 ,HG 8-15,13.7077,72.95169868030376,           J04219+213 ,0.59,0.58,   NaN ,K6V,04 21 52.4847,+21 21 12.937,200.606,-76.763,19.55,          ,-1.13,      NaN ,      NaN ,      NaN ,248.0,248.0,   0.0 ,   0.7,6.342,0.0562,4.7034400000000005,1.804649,65.4686866624408,21.3535937840283,3940.0
12,12,K2-155 c,            LP 415-17 ,HG 8-15,13.7077,72.95169868030376,           J04219+213 ,0.59,0.58,   NaN ,K6V,04 21 52.4847,+21 21 12.937,200.606,-76.763,19.55,          ,-1.13,      NaN ,      NaN ,      NaN ,248.0,248.0,   0.0 ,   0.7,13.85,0.0946,6.514900000000001,2.600488,65.4686866624408,21.3535937840283,3940.0
13,13,K2-155 d,            LP 415-17 ,HG 8-15,13.7077,72.95169868030376,           J04219+213 ,0.59,0.58,   NaN ,K6V,04 21 52.4847,+21 21 12.937,200.606,-76.763,19.55,          ,-1.13,      NaN ,      NaN ,      NaN ,248.0,248.0,   0.0 ,   0.7,40.718,0.1937,4.89412,1.90553,65.4686866624408,21.3535937840283,3940.0
16,16,TOI-1685 b,       PM J04343+4302 ,PM J04343+4302,26.5561,37.65613173621127,           J04343+430 ,0.5,0.49,   NaN ,M2.65,04 34 22.4952,+43 02 14.689,37.818,-86.911,-43.401,          ,-1.52,      NaN ,      NaN ,      NaN ,187.0,187.0,   0.0 ,   0.1,0.6691403,,3.778642,1.703768,68.5937301406511,43.0374137478844,3525.0
19,19,GJ 176 b,            HD 285968 ,HD 285968,105.5627,9.473043035087205,           J04429+189 ,0.51,0.51,  40.7 ,M2.5V,04 42 55.7753,+18 57 29.394,656.378,-1116.502,26.236,     DA19 ,-1.45,    -4.65 ,      NaN ,    -4.74 ,350.0,77.0,   0.0 ,   0.2,8.7748,0.066,,,70.7323971679992,18.9581650957308,3678.0
20,20,GJ 176 c,            HD 285968 ,HD 285968,105.5627,9.473043035087205,           J04429+189 ,0.51,0.51,  40.7 ,M2.5V,04 42 55.7753,+18 57 29.394,656.378,-1116.502,26.236,     DA19 ,-1.45,    -4.65 ,      NaN ,    -4.74 ,350.0,77.0,   0.0 ,   0.2,28.586,0.146,,,70.7323971679992,18.9581650957308,3678.0
22,22,GJ 179 b,            Wolf 1539 ,Wolf 1539,80.9036,12.360389401707712,           J04520+064 ,0.4,0.4,   NaN ,M2V,04 52 05.7323,+06 28 35.589,153.425,-306.106,-8.6,          ,-1.79,      NaN ,      NaN ,    -5.04 ,204.0,204.0,   0.0 ,   0.1,2288.0,2.41,,,73.0238846287896,6.4765526398878,3439.0
23,23,GJ 179 c,            Wolf 1539 ,Wolf 1539,80.9036,12.360389401707712,           J04520+064 ,0.4,0.4,   NaN ,M2V,04 52 05.7323,+06 28 35.589,153.425,-306.106,-8.6,          ,-1.79,      NaN ,      NaN ,    -5.04 ,204.0,204.0,   0.0 ,   0.1,3.4798,0.032,,,73.0238846287896,6.4765526398878,3439.0
24,24,GJ 180 b,               GJ 180 ,L  736-30,83.7182,11.94483397875253,           J04538-177 ,0.43,0.42,   NaN ,M3V,04 53 49.9799,-17 46 24.309,408.571,-644.464,-14.478,          ,-1.62,      NaN ,      NaN ,    -5.09 ,210.0,210.0,   0.0 ,   0.1,17.132,0.092,,,73.4582496839796,-17.7734192332394,3582.0
25,25,GJ 180 c,               GJ 180 ,L  736-30,83.7182,11.94483397875253,           J04538-177 ,0.43,0.42,   NaN ,M3V,04 53 49.9799,-17 46 24.309,408.571,-644.464,-14.478,          ,-1.62,      NaN ,      NaN ,    -5.09 ,210.0,210.0,   0.0 ,   0.1,24.329,0.129,,,73.4582496839796,-17.7734192332394,3582.0
26,26,GJ 180 d,               GJ 180 ,L  736-30,83.7182,11.94483397875253,           J04538-177 ,0.43,0.42,   NaN ,M3V,04 53 49.9799,-17 46 24.309,408.571,-644.464,-14.478,          ,-1.62,      NaN ,      NaN ,    -5.09 ,210.0,210.0,   0.0 ,   0.1,106.341,0.31,,,73.4582496839796,-17.7734192332394,3582.0
28,28,GJ 3323 b,           LP 656-038 ,LP  656-38,186.0231,5.375676461686748,           J05019-069 ,0.18,0.21,  88.5 ,M4.0Ve,05 01 57.4261,-06 56 46.371,-551.722,-533.936,42.49,   Kira12 ,-2.44,    -3.91 ,    -4.57 ,    -4.75 ,1135.0,349.0,   1.7 ,   0.1,5.3636,0.03282,,,75.4892754373812,-6.9462144097503,3284.0
29,29,GJ 3323 c,           LP 656-038 ,LP  656-38,186.0231,5.375676461686748,           J05019-069 ,0.18,0.21,  88.5 ,M4.0Ve,05 01 57.4261,-06 56 46.371,-551.722,-533.936,42.49,   Kira12 ,-2.44,    -3.91 ,    -4.57 ,    -4.75 ,1135.0,349.0,   1.7 ,   0.1,40.54,0.1264,,,75.4892754373812,-6.9462144097503,3284.0
48,48,HD 260655 b,            HD 260655 ,HD 260655,99.9164,10.00836699480766,           J06371+175 ,0.48,0.48,   NaN ,M0.0Ve,06 37 10.7989,+17 33 53.334,-764.522,337.802,-58.321,          ,-1.45,    -4.84 ,      NaN ,    -4.84 ,186.0,42.0,   0.0 ,   0.0,2.76953,0.02933,2.138794,1.2397154,99.2949955319092,17.5648151181999,3803.0
49,49,HD 260655 c,            HD 260655 ,HD 260655,99.9164,10.00836699480766,           J06371+175 ,0.48,0.48,   NaN ,M0.0Ve,06 37 10.7989,+17 33 53.334,-764.522,337.802,-58.321,          ,-1.45,    -4.84 ,      NaN ,    -4.84 ,186.0,42.0,   0.0 ,   0.0,5.70588,0.04749,3.089016,1.53305493,99.2949955319092,17.5648151181999,3803.0
52,52,GJ 251 b,             Wolf 294 ,HD 265866,179.1642,5.581472191431101,           J06548+332 ,0.39,0.39,   NaN ,M3V,06 54 48.9577,+33 16 05.438,-726.394,-398.134,23.04,   (DA19) ,-1.8,    -5.65 ,      NaN ,    -5.38 ,145.0,145.0,   0.0 ,   0.0,14.238,0.0818,,,103.7039904794401,33.2681773806413,3503.0
56,56,GJ 273 b,        Luyten's Star ,BD+05  1668,264.1269,3.786058898203856,           J07274+052 ,0.3,0.3,  93.5 ,M3.5V,07 27 24.4989,+05 13 32.841,571.232,-3691.487,18.36,    SM17b ,-1.99,    -5.35 ,      NaN ,    -5.27 ,219.0,219.0,   0.0 ,   0.0,18.64,0.091,2.9301160000000004,,111.8520790356679,5.2257893030714,3380.0
57,57,GJ 273 c,        Luyten's Star ,BD+05  1668,264.1269,3.786058898203856,           J07274+052 ,0.3,0.3,  93.5 ,M3.5V,07 27 24.4989,+05 13 32.841,571.232,-3691.487,18.36,    SM17b ,-1.99,    -5.35 ,      NaN ,    -5.27 ,219.0,219.0,   0.0 ,   0.0,4.72322,0.036,1.188572,,111.8520790356679,5.2257893030714,3380.0
58,58,GJ 273 d,        Luyten's Star ,BD+05  1668,264.1269,3.786058898203856,           J07274+052 ,0.3,0.3,  93.5 ,M3.5V,07 27 24.4989,+05 13 32.841,571.232,-3691.487,18.36,    SM17b ,-1.99,    -5.35 ,      NaN ,    -5.27 ,219.0,219.0,   0.0 ,   0.0,413.9,0.712,10.957744,,111.8520790356679,5.2257893030714,3380.0
59,59,GJ 273 e,        Luyten's Star ,BD+05  1668,264.1269,3.786058898203856,           J07274+052 ,0.3,0.3,  93.5 ,M3.5V,07 27 24.4989,+05 13 32.841,571.232,-3691.487,18.36,    SM17b ,-1.99,    -5.35 ,      NaN ,    -5.27 ,219.0,219.0,   0.0 ,   0.0,542.0,0.849,9.43866,,111.8520790356679,5.2257893030714,3380.0
63,63,HIP 36985 b,           BD-02 2198 ,BD-02  2198,71.0791,14.068833173183116,           J07361-031 ,0.59,0.59,  12.2 ,M1.0V,07 36 07.0798,-03 06 38.791,68.236,-289.99,-17.19,     DA19 ,-1.21,    -4.26 ,    -4.28 ,      NaN ,1631.0,93.0,   2.8 ,   0.0,8500.0,7.0,,,114.0294993657403,-3.1107753767804,3825.0
77,77,GJ 317 b,           LP 844-008 ,L  675-81,65.7744,15.203483422121677,           J08409-234 ,0.44,0.44,   NaN ,M3.5V,08 40 59.2055,-23 27 22.598,-461.162,805.571,87.94,          ,-1.65,      NaN ,      NaN ,    -5.02 ,252.0,252.0,   0.0 ,   0.0,695.66,1.151,,,130.2466898420833,-23.4562774027261,3496.0
78,78,GJ 317 c,           LP 844-008 ,L  675-81,65.7744,15.203483422121677,           J08409-234 ,0.44,0.44,   NaN ,M3.5V,08 40 59.2055,-23 27 22.598,-461.162,805.571,87.94,          ,-1.65,      NaN ,      NaN ,    -5.02 ,252.0,252.0,   0.0 ,   0.0,6739.323,5.23,,,130.2466898420833,-23.4562774027261,3496.0
79,79,GJ 3512 b,           LP 090-018 ,G 234-45,105.3856,9.488962438891082,           J08413+594 ,0.13,0.16,   NaN ,dM5.5,08 41 20.1289,+59 29 50.444,-260.421,-1279.613,8.0,          ,-2.82,      NaN ,    -4.44 ,      NaN ,1276.0,205.0,   2.0 ,   0.0,203.69,0.337,,,130.3338706148495,59.4973457914477,3141.0
80,80,GJ 3512 c,           LP 090-018 ,G 234-45,105.3856,9.488962438891082,           J08413+594 ,0.13,0.16,   NaN ,dM5.5,08 41 20.1289,+59 29 50.444,-260.421,-1279.613,8.0,          ,-2.82,      NaN ,    -4.44 ,      NaN ,1276.0,205.0,   2.0 ,   0.0,1599.6,1.292,,,130.3338706148495,59.4973457914477,3141.0
89,89,HD 79211 b,             HD 79211 ,HD  79211,157.8851,6.333719901371314,           J09144+526 ,0.61,0.61,   NaN ,M0V,09 14 24.6830,+52 41 10.906,-1573.121,-660.121,12.43,          ,-1.12,    -4.70 ,      NaN ,    -4.47 ,335.0,39.0,   0.5 ,   0.1,24.45,0.141,,,138.6028460872356,52.6863628112122,3983.0
93,93,GJ 357 b,               GJ 357 ,L  678-39,105.883,9.44438672874777,           J09360-216 ,0.37,0.36,  74.3 ,M2.5V,09 36 01.6372,-21 39 38.878,138.694,-990.311,-34.556,     SM15 ,-1.79,      NaN ,      NaN ,    -5.44 ,129.0,129.0,   0.0 ,   0.0,3.93086,0.033,2.0866748,1.16696899,144.006821882578,-21.6607995227503,3496.0
94,94,GJ 357 c,               GJ 357 ,L  678-39,105.883,9.44438672874777,           J09360-216 ,0.37,0.36,  74.3 ,M2.5V,09 36 01.6372,-21 39 38.878,138.694,-990.311,-34.556,     SM15 ,-1.79,      NaN ,      NaN ,    -5.44 ,129.0,129.0,   0.0 ,   0.0,9.1246,0.0607,,,144.006821882578,-21.6607995227503,3496.0
95,95,GJ 357 d,               GJ 357 ,L  678-39,105.883,9.44438672874777,           J09360-216 ,0.37,0.36,  74.3 ,M2.5V,09 36 01.6372,-21 39 38.878,138.694,-990.311,-34.556,     SM15 ,-1.79,      NaN ,      NaN ,    -5.44 ,129.0,129.0,   0.0 ,   0.0,55.698,0.204,,,144.006821882578,-21.6607995227503,3496.0
105,105,HIP 48714 b,            BD+63 869 ,BD+63   869,94.9397,10.533001473566904,           J09561+627 ,0.6,0.6,   NaN ,M0.5Ve,09 56 08.6712,+62 47 18.467,-304.046,-583.599,15.41,          ,-1.15,    -4.80 ,      NaN ,    -4.44 ,392.0,54.0,   1.9 ,   0.1,17.818,0.112,,,149.0361300909076,62.7884632335081,3938.0
106,106,Gl 378 b,           BD+48 1829 ,BD+48  1829,66.8407,14.960944454501524,           J10023+480 ,0.58,0.59,   NaN ,M1V,10 02 21.7516,+48 05 19.687,-633.076,-1474.978,-9.778,          ,-1.22,      NaN ,      NaN ,      NaN ,195.0,64.0,   0.1 ,   0.2,3.822,0.039435,,,150.5906318507039,48.0888019903467,3739.0
107,107,TOI-1235 b,      TYC 4384-1735-1 ,LSPM J1008+6916,25.2016,39.680020316170406,           J10088+692 ,0.66,0.65,   NaN ,M0.5Ve,10 08 51.8069,+69 16 35.564,196.631,17.369,-27.75,          ,-1.06,      NaN ,      NaN ,      NaN ,207.0,46.0,   0.0 ,   0.1,3.444717,0.03826,5.91108,1.6940161699999998,152.2158623632015,69.2765456036164,3952.0
111,111,LTT 3780 b,           LP 729-054 ,G 162-44,45.4644,21.995231433825147,           J10185-117 ,0.38,0.39,   NaN ,M4.0,10 18 35.1370,-11 43 00.241,-341.409,-247.87,--,          ,-1.77,      NaN ,      NaN ,      NaN ,141.0,141.0,   0.0 ,   0.2,0.7683881,0.012,3.1207960000000003,1.33196547,154.6464045592038,-11.7167337738197,3434.0
112,112,LTT 3780 c,           LP 729-054 ,G 162-44,45.4644,21.995231433825147,           J10185-117 ,0.38,0.39,   NaN ,M4.0,10 18 35.1370,-11 43 00.241,-341.409,-247.87,--,          ,-1.77,      NaN ,      NaN ,      NaN ,141.0,141.0,   0.0 ,   0.2,12.252048,0.077,8.48526,2.297845,154.6464045592038,-11.7167337738197,3434.0
115,115,GJ 393 b,           BD+01 2447 ,BD+01  2447,142.1885,7.032917570689612,           J10289+008 ,0.45,0.45,  32.7 ,dM2,10 28 55.5513,+00 50 27.601,-603.003,-732.075,8.36,     CC21 ,-1.59,    -5.16 ,      NaN ,    -4.91 ,273.0,57.0,   0.0 ,   0.0,7.02679,0.05402,,,157.2314637543045,0.8410005049271,3588.0
122,122,Wolf 359 b,               CN Leo ,Wolf  359,415.1794,2.408597343702505,           J10564+070 ,0.14,0.15,   2.7 ,dM6,10 56 28.9208,+07 00 53.003,-3866.338,-2699.215,19.57,     DA19 ,-2.96,    -3.58 ,    -3.98 ,      NaN ,3014.0,161.0,   0.0 ,   0.0,2938.0,1.845,,,164.1205036259475,7.0147231348017,3071.0
123,123,Wolf 359 c,               CN Leo ,Wolf  359,415.1794,2.408597343702505,           J10564+070 ,0.14,0.15,   2.7 ,dM6,10 56 28.9208,+07 00 53.003,-3866.338,-2699.215,19.57,     DA19 ,-2.96,    -3.58 ,    -3.98 ,      NaN ,3014.0,161.0,   0.0 ,   0.0,2.68687,0.018,,,164.1205036259475,7.0147231348017,3071.0
127,127,Lalande 21185 b,        Lalande 21185 ,HD  95735,392.7529,2.546130149516401,           J11033+359 ,0.42,0.41,  48.0 ,M2+V,11 03 20.1948,+35 58 11.576,-580.057,-4776.589,-84.64,     KS07 ,-1.65,    -5.23 ,      NaN ,    -5.46 ,100.0,100.0,   0.0 ,   0.0,12.946,0.0789,,,165.8341450816425,35.9698822727936,3557.0
128,128,Lalande 21185 c,        Lalande 21185 ,HD  95735,392.7529,2.546130149516401,           J11033+359 ,0.42,0.41,  48.0 ,M2+V,11 03 20.1948,+35 58 11.576,-580.057,-4776.589,-84.64,     KS07 ,-1.65,    -5.23 ,      NaN ,    -5.46 ,100.0,100.0,   0.0 ,   0.0,3190.0,3.1,,,165.8341450816425,35.9698822727936,3557.0
131,131,GJ 414 A b,             HD 97101 ,HD  97101,84.0803,11.893392387991003,          J11110+304E ,0.72,0.7,  38.5 ,K7V,11 11 05.1719,+30 26 45.664,591.622,-197.247,-16.63,    Oel18 ,-0.9,      NaN ,      NaN ,      NaN ,163.0,163.0,   2.0 ,   0.0,50.817,0.24,,2.9502088,167.7715497259945,30.4460180440292,4211.0
132,132,GJ 414 A c,             HD 97101 ,HD  97101,84.0803,11.893392387991003,          J11110+304E ,0.72,0.7,  38.5 ,K7V,11 11 05.1719,+30 26 45.664,591.622,-197.247,-16.63,    Oel18 ,-0.9,      NaN ,      NaN ,      NaN ,163.0,163.0,   2.0 ,   0.0,748.3,1.43,,8.780009699999999,167.7715497259945,30.4460180440292,4211.0
136,136,K2-18 b,                K2-18 ,K2-18,26.2686,38.06826401102457,           J11302+076 ,0.47,0.46,  38.8 ,dM2.5,11 30 14.5176,+07 35 18.257,-80.377,-133.142,0.328,     CC21 ,-1.57,      NaN ,      NaN ,    -4.97 ,270.0,78.0,   0.1 ,   0.3,32.939623,0.1429,8.920646000000001,2.365099,172.5604901037988,7.5884047807294,3563.0
137,137,K2-18 c,                K2-18 ,K2-18,26.2686,38.06826401102457,           J11302+076 ,0.47,0.46,  38.8 ,dM2.5,11 30 14.5176,+07 35 18.257,-80.377,-133.142,0.328,     CC21 ,-1.57,      NaN ,      NaN ,    -4.97 ,270.0,78.0,   0.1 ,   0.3,8.962,0.06,,,172.5604901037988,7.5884047807294,3563.0
139,139,HIP 57050 b,            Ross 1003 ,Ross 1003,90.7623,11.017790426201188,           J11417+427 ,0.4,0.4,  71.5 ,M4.0Ve,11 41 44.6360,+42 45 07.104,-575.654,-89.974,-8.99,     DA19 ,-1.84,      NaN ,      NaN ,    -5.34 ,122.0,122.0,   0.0 ,   0.0,41.38,0.166,,,175.4359834129234,42.7519735605958,3387.0
140,140,HIP 57050 c,            Ross 1003 ,Ross 1003,90.7623,11.017790426201188,           J11417+427 ,0.4,0.4,  71.5 ,M4.0Ve,11 41 44.6360,+42 45 07.104,-575.654,-89.974,-8.99,     DA19 ,-1.84,      NaN ,      NaN ,    -5.34 ,122.0,122.0,   0.0 ,   0.0,532.635,0.91,,,175.4359834129234,42.7519735605958,3387.0
141,141,GJ 436 b,             Ross 905 ,Ross  905,102.5015,9.7559547909055,           J11421+267 ,0.46,0.45,  44.6 ,M3V,11 42 11.0933,+26 42 23.658,895.047,-814.03,9.59,     DA19 ,-1.61,    -5.18 ,      NaN ,    -5.27 ,100.0,100.0,   0.0 ,   0.0,2.64394,0.02887,22.246,4.25942,175.5462224476471,26.7065716898158,3533.0
144,144,Ross 128 b,               FI Vir ,Ross  128,296.3073,3.3748746655921065,           J11477+008 ,0.2,0.22, 163.0 ,dM4,11 47 44.3968,+00 48 16.404,607.678,-1223.323,-30.66,     DA19 ,-2.42,    -4.32 ,      NaN ,    -5.21 ,279.0,105.0,   0.0 ,   0.0,9.8658,0.0496,,,176.9349869450709,0.8045569253625,3325.0
149,149,HD 238090 b,            HD 238090 ,HD 238090,65.6078,15.24209011733361,          J12123+544S ,0.58,0.58,   NaN ,K5V,12 12 20.8596,+54 29 08.723,232.38,92.085,-17.08,          ,-1.15,      NaN ,      NaN ,      NaN ,207.0,43.0,   0.0 ,   0.0,13.671,0.0932,,,183.0869151727108,54.4857565546354,3902.0
156,156,GJ 480 b,             Wolf 433 ,Wolf  433,70.2164,14.24168712722384,           J12388+116 ,0.49,0.48,   NaN ,M3.5Ve,12 38 52.4409,+11 41 46.145,-1155.696,-251.042,-4.19,          ,-1.55,    -4.50 ,      NaN ,    -5.03 ,334.0,128.0,   0.0 ,   0.2,9.567,0.068,,,189.718504046134,11.6961516024479,3525.0
158,158,GJ 486 b,             Wolf 437 ,Wolf  437,123.8215,8.07614186550801,           J12479+097 ,0.35,0.36,   NaN ,M3.5Ve,12 47 56.6249,+09 45 05.031,-1008.602,-459.8,19.18,          ,-1.92,      NaN ,      NaN ,    -5.46 ,118.0,118.0,   0.0 ,   0.0,1.467119,0.01734,2.818886,1.30506387,191.9859372154997,9.7513977564889,3408.0
161,161,TOI-1266 b,       PM J13119+6550 ,PM J13119+6550,27.7397,36.0494165401933,           J13119+658 ,0.43,0.43,   NaN ,M3,13 11 59.5602,+65 50 01.703,-150.652,-25.368,-41.88,          ,-1.55,      NaN ,      NaN ,      NaN ,385.0,385.0,   0.0 ,   0.2,10.894843,0.0736,15.89,2.3695826,197.9981676834933,65.8338065264626,3686.0
162,162,TOI-1266 c,       PM J13119+6550 ,PM J13119+6550,27.7397,36.0494165401933,           J13119+658 ,0.43,0.43,   NaN ,M3,13 11 59.5602,+65 50 01.703,-150.652,-25.368,-41.88,          ,-1.55,      NaN ,      NaN ,      NaN ,385.0,385.0,   0.0 ,   0.2,18.80151,0.1058,6.38778,1.5602927999999998,197.9981676834933,65.8338065264626,3686.0
165,165,GJ 3779 b,            Ross 1020 ,Ross 1020,72.7352,13.748501413345943,           J13229+244 ,0.3,0.31,   NaN ,M4V,13 22 56.7478,+24 28 03.602,-615.951,-865.128,-19.0,          ,-2.07,      NaN ,      NaN ,      NaN ,438.0,73.0,   0.0 ,   0.0,3.0232,0.026,,,200.7364494252646,24.4676673624151,3327.0
167,167,Gl 514 b,           BD+11 2576 ,BD+11  2576,131.2428,7.619465601160598,           J13299+102 ,0.51,0.5,  30.0 ,M1.0Ve,13 29 59.7856,+10 22 37.784,1127.507,-1073.879,14.47,    SM17b ,-1.39,    -4.80 ,      NaN ,    -4.81 ,159.0,43.0,   0.0 ,   0.0,140.43,5.2,,,202.4991070353161,10.3771624506149,3765.0
173,173,GJ 536 b,            HD 122303 ,HD 122303,96.0398,10.412349879945603,           J14010-026 ,0.52,0.52,  43.9 ,M0V,14 01 03.1881,-02 39 17.514,-825.424,598.112,-25.9,    SM17b ,-1.37,      NaN ,      NaN ,    -4.75 ,229.0,60.0,   0.0 ,   0.0,8.7076,0.06661,,,210.2632841162,-2.6548652558517,3719.0
189,189,GJ 581 b,               HO Lib ,BD-07  4003,158.7492,6.299244342648656,           J15194-077 ,0.34,0.34, 132.5 ,M3V,15 19 26.8271,-07 43 20.190,-1221.467,-97.129,-9.24,     SM15 ,-1.91,      NaN ,      NaN ,    -5.50 ,156.0,54.0,   0.0 ,   0.0,5.368,0.041,,,229.8617797234025,-7.7222752663267,3500.0
190,190,GJ 581 c,               HO Lib ,BD-07  4003,158.7492,6.299244342648656,           J15194-077 ,0.34,0.34, 132.5 ,M3V,15 19 26.8271,-07 43 20.190,-1221.467,-97.129,-9.24,     SM15 ,-1.91,      NaN ,      NaN ,    -5.50 ,156.0,54.0,   0.0 ,   0.0,12.919,0.074,,,229.8617797234025,-7.7222752663267,3500.0
191,191,GJ 581 e,               HO Lib ,BD-07  4003,158.7492,6.299244342648656,           J15194-077 ,0.34,0.34, 132.5 ,M3V,15 19 26.8271,-07 43 20.190,-1221.467,-97.129,-9.24,     SM15 ,-1.91,      NaN ,      NaN ,    -5.50 ,156.0,54.0,   0.0 ,   0.0,3.153,0.029,,,229.8617797234025,-7.7222752663267,3500.0
197,197,GJ 3929 b,            G 180-018 ,G 180-18,63.224,15.816778438567631,           J15583+354 ,0.32,0.33,  57.2 ,M3.5Ve,15 58 18.7979,+35 24 24.278,-143.277,318.219,10.14,   Hart11 ,-1.94,      NaN ,      NaN ,      NaN ,153.0,153.0,   1.6 ,   0.3,2.6162745,0.02569,1.210818,1.1500434,239.5783246161998,35.4067440094469,3478.0
198,198,GJ 3929 c,            G 180-018 ,G 180-18,63.224,15.816778438567631,           J15583+354 ,0.32,0.33,  57.2 ,M3.5Ve,15 58 18.7979,+35 24 24.278,-143.277,318.219,10.14,   Hart11 ,-1.94,      NaN ,      NaN ,      NaN ,153.0,153.0,   1.6 ,   0.3,14.303,0.078,,,239.5783246161998,35.4067440094469,3478.0
203,203,HD 147379 b,            HD 147379 ,HD 147379,92.8704,10.76769347391634,          J16167+672S ,0.6,0.78,   NaN ,M1-Ve,16 16 42.7466,+67 14 19.830,-498.018,84.11,-18.962,          ,-1.02,    -4.89 ,      NaN ,    -4.52 ,507.0,99.0,   1.7 ,   0.0,86.54,0.3193,,,244.1781108406187,67.238841858505,4034.0
204,204,GJ 625 b,               GJ 625 ,G 202-48,154.471,6.473707038861663,           J16254+543 ,0.34,0.34,  76.8 ,M1.5V,16 25 24.6233,+54 18 14.765,432.073,-171.668,-13.01,     DA19 ,-1.85,    -5.03 ,      NaN ,    -5.33 ,290.0,131.0,   0.0 ,   0.0,14.638,0.078399,,,246.3525971213758,54.3041015975675,3595.0
205,205,Wolf 1061 b,            V2306 Oph ,BD-12  4523,232.2095,4.306456023547701,           J16303-126 ,0.33,0.34, 119.0 ,M3V,16 30 18.0582,-12 39 45.323,-94.027,-1183.784,-21.17,     DA19 ,-1.97,    -5.08 ,      NaN ,    -5.29 ,112.0,112.0,   0.0 ,   0.0,4.8869,0.0375,,,247.5752425044512,-12.6625897875522,3426.0
206,206,Wolf 1061 c,            V2306 Oph ,BD-12  4523,232.2095,4.306456023547701,           J16303-126 ,0.33,0.34, 119.0 ,M3V,16 30 18.0582,-12 39 45.323,-94.027,-1183.784,-21.17,     DA19 ,-1.97,    -5.08 ,      NaN ,    -5.29 ,112.0,112.0,   0.0 ,   0.0,17.8719,0.089,,,247.5752425044512,-12.6625897875522,3426.0
207,207,Wolf 1061 d,            V2306 Oph ,BD-12  4523,232.2095,4.306456023547701,           J16303-126 ,0.33,0.34, 119.0 ,M3V,16 30 18.0582,-12 39 45.323,-94.027,-1183.784,-21.17,     DA19 ,-1.97,    -5.08 ,      NaN ,    -5.29 ,112.0,112.0,   0.0 ,   0.0,217.21,0.47,,,247.5752425044512,-12.6625897875522,3426.0
214,214,GJ 649 b,           BD+25 3173 ,BD+25  3173,96.3141,10.382695783898724,           J16581+257 ,0.53,0.53,  23.8 ,M2V,16 58 08.8497,+25 44 38.971,-115.479,-507.887,4.337,     DA19 ,-1.35,    -3.63 ,      NaN ,    -4.62 ,536.0,78.0,   0.3 ,   0.1,598.3,1.135,,,254.5368741390562,25.7441586445144,3782.0
215,215,GJ 649 c,           BD+25 3173 ,BD+25  3173,96.3141,10.382695783898724,           J16581+257 ,0.53,0.53,  23.8 ,M2V,16 58 08.8497,+25 44 38.971,-115.479,-507.887,4.337,     DA19 ,-1.35,    -3.63 ,      NaN ,    -4.62 ,536.0,78.0,   0.3 ,   0.1,4.4762,0.043,,,254.5368741390562,25.7441586445144,3782.0
222,222,GJ 687 b,            BD+68 946 ,BD+68   946,219.7807,4.549990058271723,           J17364+683 ,0.43,0.43,   NaN ,M3.0V,17 36 25.8991,+68 20 20.904,-320.636,-1269.528,-28.65,          ,-1.65,    -5.05 ,      NaN ,      NaN ,249.0,249.0,   0.0 ,   0.0,38.142,0.163,,,264.1079132082267,68.3391400377617,3389.0
